index_name,series_id,unique_id,ds,y
TOPIX1000,return,TOPIX1000_return,2010-05-27,0.0130122243
TOPIX1000,return,TOPIX1000_return,2010-05-28,0.0099053685
TOPIX1000,return,TOPIX1000_return,2010-05-31,0.0018029567
TOPIX1000,return,TOPIX1000_return,2010-06-01,-0.0004444337
TOPIX1000,return,TOPIX1000_return,2010-06-02,-0.0114654043
TOPIX1000,return,TOPIX1000_return,2010-06-03,0.0239208787
TOPIX1000,return,TOPIX1000_return,2010-06-04,-0.0006323703
TOPIX1000,return,TOPIX1000_return,2010-06-07,-0.0346896752
TOPIX1000,return,TOPIX1000_return,2010-06-08,-0.0010444235
TOPIX1000,return,TOPIX1000_return,2010-06-09,-0.0094076932
TOPIX1000,return,TOPIX1000_return,2010-06-10,0.0077010681
TOPIX1000,return,TOPIX1000_return,2010-06-11,0.011307066
TOPIX1000,return,TOPIX1000_return,2010-06-14,0.0139896592
TOPIX1000,return,TOPIX1000_return,2010-06-15,0.0002715886
TOPIX1000,return,TOPIX1000_return,2010-06-16,0.0155524497
TOPIX1000,return,TOPIX1000_return,2010-06-17,-0.005571674
TOPIX1000,return,TOPIX1000_return,2010-06-18,-0.0033659333
TOPIX1000,return,TOPIX1000_return,2010-06-21,0.0202967499
TOPIX1000,return,TOPIX1000_return,2010-06-22,-0.0089471331
TOPIX1000,return,TOPIX1000_return,2010-06-23,-0.0154520722
TOPIX1000,return,TOPIX1000_return,2010-06-24,-0.0012789046
TOPIX1000,return,TOPIX1000_return,2010-06-25,-0.0142497323
TOPIX1000,return,TOPIX1000_return,2010-06-28,-0.0068038438
TOPIX1000,return,TOPIX1000_return,2010-06-29,-0.0100985581
TOPIX1000,return,TOPIX1000_return,2010-06-30,-0.0126648222
TOPIX1000,return,TOPIX1000_return,2010-07-01,-0.015549462
TOPIX1000,return,TOPIX1000_return,2010-07-02,0.0031336421
TOPIX1000,return,TOPIX1000_return,2010-07-05,0.0070515903
TOPIX1000,return,TOPIX1000_return,2010-07-06,0.0125334912
TOPIX1000,return,TOPIX1000_return,2010-07-07,-0.0066565045
TOPIX1000,return,TOPIX1000_return,2010-07-08,0.0234711955
TOPIX1000,return,TOPIX1000_return,2010-07-09,8.87185e-05
TOPIX1000,return,TOPIX1000_return,2010-07-12,-0.004098991
TOPIX1000,return,TOPIX1000_return,2010-07-13,-0.0037372898
TOPIX1000,return,TOPIX1000_return,2010-07-14,0.0193156386
TOPIX1000,return,TOPIX1000_return,2010-07-15,-0.0162879902
TOPIX1000,return,TOPIX1000_return,2010-07-16,-0.0188846907
TOPIX1000,return,TOPIX1000_return,2010-07-20,-0.0100665984
TOPIX1000,return,TOPIX1000_return,2010-07-21,-0.0033478475
TOPIX1000,return,TOPIX1000_return,2010-07-22,-0.0046818478
TOPIX1000,return,TOPIX1000_return,2010-07-23,0.0193123621
TOPIX1000,return,TOPIX1000_return,2010-07-26,0.0053743212
TOPIX1000,return,TOPIX1000_return,2010-07-27,0.0002254965
TOPIX1000,return,TOPIX1000_return,2010-07-28,0.0232716869
TOPIX1000,return,TOPIX1000_return,2010-07-29,-0.0048481086
TOPIX1000,return,TOPIX1000_return,2010-07-30,-0.0136523072
TOPIX1000,return,TOPIX1000_return,2010-08-02,0.001459386
TOPIX1000,return,TOPIX1000_return,2010-08-03,0.0101107712
TOPIX1000,return,TOPIX1000_return,2010-08-04,-0.0154470133
TOPIX1000,return,TOPIX1000_return,2010-08-05,0.0133448753
TOPIX1000,return,TOPIX1000_return,2010-08-06,0.0047828297
TOPIX1000,return,TOPIX1000_return,2010-08-09,-0.0042398164
TOPIX1000,return,TOPIX1000_return,2010-08-10,-0.0033350758
TOPIX1000,return,TOPIX1000_return,2010-08-11,-0.0237248335
TOPIX1000,return,TOPIX1000_return,2010-08-12,-0.0079861891
TOPIX1000,return,TOPIX1000_return,2010-08-13,0.004146292
TOPIX1000,return,TOPIX1000_return,2010-08-16,-0.0031082161
TOPIX1000,return,TOPIX1000_return,2010-08-17,-0.0022895556
TOPIX1000,return,TOPIX1000_return,2010-08-18,0.0103555021
TOPIX1000,return,TOPIX1000_return,2010-08-19,0.010603254
TOPIX1000,return,TOPIX1000_return,2010-08-20,-0.0171665509
TOPIX1000,return,TOPIX1000_return,2010-08-23,-0.0058030543
TOPIX1000,return,TOPIX1000_return,2010-08-24,-0.0086570469
TOPIX1000,return,TOPIX1000_return,2010-08-25,-0.0129533759
TOPIX1000,return,TOPIX1000_return,2010-08-26,0.0055398018
